,topDistance,bottomDistance,birdPosition,jump
1408,12.165525060596439,152.47294842036735,226.0,0
1409,8.06225774829855,146.16771189288008,232.0,0
1410,20.09975124224178,130.01538370516005,248.0,0
1411,36.124783736376884,114.03946685248927,264.0,0
1412,52.61178575186362,98.32598842625484,280.0,0
1413,45.40099117860754,107.2904935210944,271.5,1
1414,36.28015986734347,119.85929250583786,259.5,0
1415,29.832867780352597,133.00375934536586,247.0,0
1416,29.410882339705484,143.75326083258076,237.0,0
1417,33.30540496676178,149.1953417503375,232.5,0
1418,39.423977475642914,144.5830211331884,238.5,0
1419,50.50990001969911,130.77174771333446,254.5,0
1420,64.11123146532127,117.7295629822858,270.5,0
1421,78.93826701923471,105.741429912783,286.5,0
1422,76.57675887630658,115.6027681329474,278.0,1
1423,73.57309290766564,128.50291825480073,266.0,0
1424,72.62403183519902,141.85996616381945,253.5,0
1425,74.62740783385149,153.03349306606054,243.5,0
1426,354.7520260689148,431.1020760794362,239.0,0
1427,347.97988447610015,423.42649893458486,245.0,0
1428,338.07247743642193,409.5033577395917,261.0,0
1429,328.72176684850064,395.80045477487766,277.0,0
1430,319.97656164163027,382.3414704161713,293.0,0
1431,317.1265520261588,383.30046960576504,284.5,1
1432,315.5570471404497,386.68624232056663,272.5,0
1433,314.6823795511913,390.80046059338264,260.0,0
1434,313.4645115479582,393.6495903719449,250.0,0
1435,310.5016103017825,393.01558493270977,245.5,0
1436,303.61200569147456,385.26646622824575,251.5,0
1437,293.327888207037,370.79812566948067,267.5,0
1438,283.66221108917557,356.5308542047939,283.5,0
1439,274.68026867614645,342.48978086944436,299.5,0
1440,271.9797786601055,344.05377486666237,291.0,1
1441,270.69170655932555,348.24416721604973,279.0,0
1442,270.2040895323385,353.2141701574273,266.5,0
1443,269.37937931475005,356.8126258976832,256.5,0
1444,266.66083326952986,356.6623052692841,252.0,0
1445,259.6247291765559,348.8624370722649,258.0,0
1446,248.8453334905037,333.80233672040106,274.0,0
1447,238.75719884434898,318.912213626258,290.0,0
1448,229.45151993395032,304.2170277943035,306.0,0
1449,226.96089971622865,306.53099353898943,297.5,1
1450,226.066914872566,311.69897337014123,285.5,0
1451,226.11943746613204,317.6948221170751,273.0,0
1452,225.84286572747877,322.18783341398847,263.0,0
1453,223.47091533351718,322.6286565077566,258.5,0
1454,216.250433525577,314.82415726878395,264.5,0
